customer_id,tenure_months,age,income_tier,contract_type,plan_type,region,senior_citizen,has_partner,has_dependents,signup_date,call_duration_min_mean,call_duration_min_std,data_usage_gb_mean,data_usage_gb_std,bill_amount_mean,bill_amount_sum,complaint_flag_sum,customer_service_calls_sum,payment_delay_days_mean,roaming_flag_sum,international_minutes_sum,call_drop_rate_mean,churn_probability,churn_label
TEL00000000,52,46,Low,One Year,Standard,South,0,0,0,2020-01-20,182.89600000000002,55.82671190483337,4.168,2.802654005346399,86.5725,1731.45,0,3,2.2,0,150.69,0.05275,0.25,0
TEL00000001,24,20,Low,Two Year,Premium,South,0,0,1,2022-08-28,309.797,114.94910787410502,10.730500000000001,6.458988412730703,130.85399999999998,2617.08,0,6,2.4,0,189.62,0.04395,0.44999999999999996,0
TEL00000002,58,39,Low,Month-to-Month,Standard,East,0,0,0,2023-03-25,179.414,75.25890109272264,6.396,3.0825833322069336,73.599,1471.98,1,5,1.7,2,264.56,0.0423,0.45,0
TEL00000003,15,79,Low,One Year,Basic,West,1,1,0,2024-02-17,112.247,27.540730621352346,1.3995,0.9665536987832485,51.870000000000005,1037.4,0,0,2.3,2,252.53,0.047299999999999995,0.25,0
TEL00000004,21,26,Low,Two Year,Premium,South,0,0,0,2022-03-02,313.4125,97.39833484337994,9.654,6.077156883730556,111.45149999999998,2229.0299999999997,0,2,1.65,0,187.2,0.04295,0.0,0
TEL00000005,60,24,Medium,Two Year,Basic,North,0,0,1,2023-02-07,108.06954545454546,37.37128047773389,2.2181818181818183,1.6634978533875864,49.72545454545455,1093.96,0,1,2.272727272727273,2,242.15,0.05445454545454545,0.15,0
TEL00000006,6,71,Medium,Month-to-Month,Premium,South,1,0,0,2023-03-05,323.37399999999997,109.97471071634088,9.729333333333333,8.87200771823272,124.66000000000001,1869.9,0,3,2.4,2,184.42000000000002,0.062400000000000004,0.4,0
TEL00000007,14,48,High,Month-to-Month,Basic,North,0,1,1,2024-12-22,107.412,27.092556289796455,1.7015,0.8411037547864054,48.5735,971.47,0,1,2.25,2,218.63,0.05375,0.4,0
TEL00000008,53,41,Medium,Month-to-Month,Standard,North,0,0,0,2022-02-26,180.96363636363637,62.46234092448213,5.202272727272727,2.9494453583814573,76.0390909090909,1672.86,0,3,1.8181818181818181,2,135.14,0.05240909090909091,0.25,0
TEL00000009,1,61,Low,Month-to-Month,Basic,West,0,1,1,2020-12-24,94.425,32.17142250998219,2.2625,1.477914159603965,48.857,977.14,0,5,2.0,3,119.83,0.0601,0.4,0
TEL00000010,41,45,High,One Year,Basic,West,0,0,1,2023-09-12,95.76545454545455,37.59757891486818,2.0772727272727276,1.335201721225537,52.468636363636364,1154.31,0,7,1.8181818181818181,4,341.12,0.05904545454545454,0.4,0
TEL00000011,44,57,Low,One Year,Basic,East,0,1,1,2024-07-10,102.15888888888888,31.458266264050046,1.5027777777777775,1.1120823369620643,48.07333333333334,865.32,1,5,1.7222222222222223,3,172.28,0.059111111111111114,0.30000000000000004,0
TEL00000012,14,56,Low,One Year,Basic,West,0,0,0,2024-05-10,92.70454545454545,26.575479161074266,1.9886363636363635,1.5489667691555078,52.82863636363636,1162.23,0,4,1.8181818181818181,3,150.28,0.05477272727272728,0.1,0
